State,District,Latitude,Longitude,District code,State name,Population,Male,Female,Literate,litracy_rate,Female_Literate,Male_Literate,Hindus,Muslims,Sikhs,Christians,Jains,Middle_Education,Female_Workers,Male_Workers,Household_Workers,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Primary_Education,Higher_Education,SC,ST
Himachal Pradesh,Shimla,31.155725451807253,77.62573042168668,33,HIMACHAL PRADESH,814010,425039,388971,612642,75.0,269796,342846,791449,11810,4047,2025,185,113305,172298,258628,7967,172754,9177,24127,113536,95341,215777,8755
Himachal Pradesh,Sirmaur,30.682764453961443,77.43184689507493,32,HIMACHAL PRADESH,529855,276289,253566,362645,68.0,157028,205617,476830,33215,15501,577,236,78103,110684,169399,5313,91509,2220,8593,100123,38282,160745,11262
Himachal Pradesh,Solan,31.03864311926604,76.94442140672783,31,HIMACHAL PRADESH,580320,308754,271566,428578,74.0,184206,244372,548579,14678,13926,1452,591,83992,108736,190001,4969,119866,5250,14478,89407,59363,164536,25645
Himachal Pradesh,Una,31.58330388349513,76.18353932038836,29,HIMACHAL PRADESH,521173,263692,257481,399715,77.0,186434,213281,480138,14275,26009,390,70,81256,73734,141612,3427,105929,2412,8238,87913,60626,115491,8601
Jammu and Kashmir,Doda,33.359614675767915,76.07163720136518,16,JAMMU AND KASHMIR,409936,213641,196295,219083,53.0,80463,138620,187621,220614,422,472,22,62719,50768,101144,1932,61831,596,3077,47350,31416,53408,39216
Jammu and Kashmir,Jammu,32.713199095022645,74.8477520361991,21,JAMMU AND KASHMIR,1529958,813821,716137,1137135,74.0,495219,641916,1289240,107489,114272,12104,1987,253542,91166,417456,10589,294739,19905,46657,185962,159257,377991,69193
Jammu and Kashmir,Kargil,33.565994894894914,76.63675315315312,4,JAMMU AND KASHMIR,140802,77785,63017,86236,61.0,29935,56301,10341,108239,1171,604,28,20874,12034,39839,1222,15824,235,1005,19083,9826,18,122336
Jammu and Kashmir,Kathua,32.51781678321678,75.58901398601404,7,JAMMU AND KASHMIR,616435,326109,290326,389204,63.0,160705,228499,540063,64234,9551,1828,16,106411,38883,161548,3952,109422,1443,6112,82715,47694,141224,53307
Jammu and Kashmir,Pulwama,33.88414418604652,75.00921860465118,12,JAMMU AND KASHMIR,560440,293064,267376,293958,52.0,115632,178326,13840,535159,9440,1109,6,73991,49992,138428,10615,73629,1537,5293,54808,40931,402,22607
Jammu and Kashmir,Punch,33.791241290322574,74.29593161290322,5,JAMMU AND KASHMIR,476835,251899,224936,261724,55.0,98391,163333,32604,431279,11188,958,10,69219,43716,117677,3930,62900,346,3342,72024,29517,556,176101
Jammu and Kashmir,Srinagar,34.27312898550724,75.11021159420288,10,JAMMU AND KASHMIR,1236829,651124,585705,748584,61.0,316838,431746,42540,1177342,12187,2746,74,178723,74037,333151,20095,165403,16413,33831,173309,132727,1068,8935
Jammu and Kashmir,Udhampur,33.04770670731707,75.15286951219511,19,JAMMU AND KASHMIR,554985,296784,258201,322354,58.0,124811,197543,489044,59771,3418,1962,57,86008,79827,163845,2641,73999,1214,5744,80129,29657,138569,56309
Jharkhand,Bokaro,23.6814965034965,85.98398374125864,355,JHARKHAND,2062330,1072807,989523,1273520,62.0,514432,759088,1636460,241451,4174,13730,2045,342646,177691,507677,21671,274726,9754,37997,338861,154076,299227,255626
Jharkhand,Chatra,24.11619945750453,84.93295804701627,347,JHARKHAND,1042886,533935,508951,510061,49.0,206159,303902,903179,116710,888,6565,129,102033,146477,251213,14210,27037,590,9115,161729,35342,340553,45563
Jharkhand,Deoghar,24.33070100755672,86.75697632241814,350,JHARKHAND,1492073,775022,717051,793538,53.0,303701,489837,1165140,302626,143,6027,282,190171,167776,383691,39361,130193,1944,13550,266292,54419,190036,180962
Jharkhand,Dhanbad,23.854509090909097,86.40372924901185,354,JHARKHAND,2684487,1405956,1278531,1722204,64.0,707254,1014950,2149480,431762,9727,11243,1268,449506,185653,658851,25889,427173,11568,46646,501453,186697,437309,233119
Jharkhand,Dumka,24.275006125574265,87.27662450229711,362,JHARKHAND,1321442,668514,652928,672409,51.0,266134,406275,1044726,106865,234,86404,162,149009,257671,367108,23106,62110,1193,10396,229259,38383,79614,571077
Jharkhand,Garhwa,24.082114689265527,83.68664265536722,346,JHARKHAND,1322784,683575,639209,653476,49.0,248315,405161,1104475,194680,123,17168,20,147446,235980,335451,14487,29373,565,8881,195565,46882,319946,205874
Jharkhand,Giridih,24.30578509874329,86.08710915619386,349,JHARKHAND,2445474,1258098,1187376,1253475,51.0,469739,783736,1856202,508586,937,14645,1503,261309,412331,623946,32544,125431,1944,19976,443980,77540,325493,238188
Jharkhand,Godda,24.8189,87.2941735483871,351,JHARKHAND,1313551,677927,635624,604519,46.0,228307,376212,937126,289182,97,37795,115,126766,208172,344019,18719,43230,874,11925,190777,47395,115567,279208
Jharkhand,Gumla,23.078532948929148,84.55056787479396,366,JHARKHAND,1025213,514390,510823,559720,55.0,237925,321795,309563,51429,221,202449,23,182260,222734,264774,12771,31687,831,7807,242580,45613,32459,706754
Jharkhand,Jamtara,23.97873318077801,86.95325080091534,363,JHARKHAND,791042,404830,386212,426312,54.0,168052,258260,550560,164406,520,4419,783,85745,111891,214740,11547,49419,808,4959,132014,22995,72885,240489
Jharkhand,Latehar,23.72511185840708,84.48298743362837,359,JHARKHAND,726978,369666,357312,350682,48.0,140976,209706,473049,69808,120,47653,16,88787,133273,180106,9205,38194,340,6240,121529,23885,154910,331096
Jharkhand,Lohardaga,23.488796043165483,84.6605169064748,356,JHARKHAND,461790,232629,229161,259707,56.0,110139,149568,112378,95012,51,16770,15,63545,99727,121605,4449,28769,351,2954,84920,21987,15330,262734
Jharkhand,Pakur,24.57260428082189,87.69691969178076,353,JHARKHAND,900422,452661,447761,352881,39.0,145892,206989,410127,322963,356,75865,222,79045,170572,234012,19471,31414,328,4535,133770,15700,28469,379054
Jharkhand,Palamu,24.196925968109337,84.20310842824594,358,JHARKHAND,1939869,1006302,933567,1024563,53.0,402857,621706,1683169,238295,734,6164,284,231565,240133,473042,19911,68238,2155,19981,296937,100290,536382,181208
Jharkhand,Ranchi,23.184235061391547,85.31781937244203,364,JHARKHAND,2914253,1494937,1419316,1911433,66.0,826189,1085244,1612239,410759,4826,193974,2733,495515,398900,743967,38452,350908,22538,76565,547583,247237,152943,1042016
Jharkhand,Sahibganj,24.93667989690721,87.68264097938142,352,JHARKHAND,1150567,589391,561176,483263,42.0,195960,287303,628044,398243,198,83208,125,110822,194512,295690,43179,34879,591,9563,171416,28087,72341,308343
Jharkhand,Simdega,22.608760391198054,84.59193691931536,367,JHARKHAND,599578,300309,299269,343483,57.0,151492,191991,201524,15103,51,306601,114,97580,128778,159867,8011,16865,423,4649,130068,24842,44674,424407
Karnataka,Bagalkot,16.15860676328503,75.64526070853468,556,KARNATAKA,1889752,950111,939641,1113412,59.0,472024,641388,1634229,219991,443,3433,25198,147397,306506,511575,44797,301389,3745,26297,385986,115095,319149,97203
Karnataka,Bangalore Rural,12.936827087794448,77.47369314775169,583,KARNATAKA,990923,509172,481751,688749,70.0,303438,385311,890429,92252,389,5368,1045,126285,144392,315499,19457,214253,3729,17066,168165,82235,213700,52903
Karnataka,Belgaum,16.16107219152853,74.72329042357275,555,KARNATAKA,4779661,2423063,2356598,3052032,64.0,1326484,1725548,4038331,528412,2037,18418,178310,609600,733246,1372422,60342,808827,17560,73497,1057297,279583,577418,297198
Karnataka,Bellary,15.074377548209377,76.47228471074374,565,KARNATAKA,2452595,1236954,1215641,1421621,58.0,608181,813440,2103633,320834,1029,14014,8044,219702,413622,703258,22832,440374,9626,40190,529576,121453,517409,451406
Karnataka,Bidar,17.950361730769224,77.19459961538459,558,KARNATAKA,1703300,870665,832635,1042673,61.0,445475,597198,1289709,335184,1145,35438,680,194233,243558,459050,18095,271439,3971,36072,474921,105347,399785,235822
